x0000,y0000
1089.,479.3555
1090.,479.3314
1091.,479.3139
1092.,479.297
1093.,479.2802
1094.,479.2506
1095.,479.2186
1096.,479.1819
1097.,479.1434
1098.,479.1049
1099.,479.0682
1100.,479.0266
1101.,478.9834
1102.,478.9419
1103.,478.893
1104.,478.8451
1105.,478.7885
1106.,478.7182
1107.,478.631
1108.,478.5344
1109.,478.437
1110.,478.3589
1111.,478.2982
1112.,478.2742
1113.,478.2711
1114.,478.279
1115.,478.291
1116.,478.3174
1117.,478.3589
1118.,478.4082
1119.,478.4729
1120.,478.5656
1121.,478.6814
1122.,478.8228
1123.,479.0146
1124.,479.3139
1125.,479.691
1126.,480.1721
1127.,480.662
1128.,481.1712
1129.,481.6901
1130.,482.2217
1131.,482.7457
1132.,483.1521
1133.,483.3985
1134.,483.5109
1135.,483.5434
1136.,483.5289
1137.,483.4901
1138.,483.3985
1139.,483.2475
1140.,483.0629
1141.,482.8671
1142.,482.6914
1143.,482.5491
1144.,482.4336
1145.,482.3431
1146.,482.26
1147.,482.1903
1148.,482.1459
1149.,482.1323
1150.,482.1387
1151.,482.17
1152.,482.2217
1153.,482.2831
1154.,482.3373
1155.,482.3721
1156.,482.3721
1157.,482.3373
1158.,482.2711
1159.,482.1807
1160.,482.07
1161.,481.9522
1162.,481.8127
1163.,481.6562
1164.,481.5014
1165.,481.3573
1166.,481.2243
1167.,481.1092
1168.,481.0239
1169.,480.9363
1170.,480.8607
1171.,480.7915
1172.,480.7255
1173.,480.6644
1174.,480.6058
1175.,480.5504
1176.,480.4909
1177.,480.4202
1178.,480.3447
1179.,480.2564
1180.,480.1649
1181.,480.0662
1182.,479.9659
1183.,479.8641
1184.,479.7624
1185.,479.6646
1186.,479.5669
1187.,479.5011
1188.,479.4483
1189.,479.3747
1190.,479.3042
1191.,479.2378
1192.,479.1706
1193.,479.1122
1194.,479.0538
1195.,478.993
1196.,478.9346
1197.,478.8739
1198.,478.8101
1199.,478.7445
1200.,478.6742
1201.,478.6063
1202.,478.5344
1203.,478.4561
1204.,478.3812
1205.,478.3013
1206.,478.228
1207.,478.1507
1208.,478.0725
1209.,478.0048
1210.,477.9274
1211.,477.8524
1212.,477.7745
1213.,477.7044
1214.,477.6392
1215.,477.5674
1216.,477.5015
1217.,477.4344
1218.,477.3685
1219.,477.3033
1220.,477.2357
1221.,477.1698
1222.,477.1046
1223.,477.037
1224.,476.9749
1225.,476.9097
1226.,476.8487
1227.,476.786
1228.,476.7239
1229.,476.6629
1230.,476.6027
1231.,476.5477
1232.,476.4915
1233.,476.4385
1234.,476.3782
1235.,476.3346
1236.,476.3227
1237.,476.2798
1238.,476.2386
1239.,476.1974
1240.,476.1568
1241.,476.1158
1242.,476.0775
1243.,476.0316
1244.,475.9763
1245.,475.9178
1246.,475.9041
1247.,475.8702
1248.,475.8053
1249.,475.7451
1250.,475.6826
1251.,475.6201
1252.,475.5575
1253.,475.4951
1254.,475.4326
1255.,475.3701
1256.,475.3143
1257.,475.2619
1258.,475.209
1259.,475.1632
1260.,475.1228
1261.,475.0894
1262.,475.0598
1263.,475.0336
1264.,475.0099
1265.,474.9951
1266.,474.9813
1267.,474.9689
1268.,474.9618
1269.,474.9618
1270.,474.9618
1271.,474.9594
1272.,474.9618
1273.,474.9618
1274.,474.9546
1275.,474.9427
1276.,474.9302
1277.,474.9184
1278.,474.9041
1279.,474.8922
1280.,474.8708
1281.,474.8513
1282.,474.8347
1283.,474.8151
1284.,474.8031
1285.,474.7914
1286.,474.7866
1287.,474.7842
1288.,474.7866
1289.,474.7914
1290.,474.8009
1291.,474.8037
1292.,474.8133
1293.,474.8174
1294.,474.8227
1295.,474.8275
1296.,474.8298
1297.,474.8347
1298.,474.837
1299.,474.837
1300.,474.8347
1301.,474.8275
1302.,474.8227
1303.,474.8109
1304.,474.7985
1305.,474.777
1306.,474.7509
1307.,474.7242
1308.,474.6957
1309.,474.6667
1310.,474.64
1311.,474.6138
1312.,474.5877
1313.,474.5639
1314.,474.542
1315.,474.5159
1316.,474.4921
1317.,474.4608
1318.,474.4484
1319.,474.4484
1320.,474.4488
1321.,474.4394
1322.,474.4174
1323.,474.4032
1324.,474.3914
1325.,474.3814
1326.,474.367
1327.,474.3623
1328.,474.3552
1329.,474.3452
1330.,474.3357
1331.,474.3286
1332.,474.3148
1333.,474.3025
1334.,474.2882
1335.,474.2739
1336.,474.2621
1337.,474.245
1338.,474.2259
1339.,474.2093
1340.,474.1899
1341.,474.1684
1342.,474.149
1343.,474.1299
1344.,474.111
1345.,474.0896
1346.,474.0724
1347.,474.0559
1348.,474.0411
1349.,474.0246
1350.,474.0151
1351.,474.0056
1352.,473.9956
1353.,473.9837
1354.,473.979
1355.,473.9695
1356.,473.9676
1357.,473.9628
1358.,473.9623
1359.,473.9647
1360.,473.9676
1361.,473.9695
1362.,473.9743
1363.,473.9837
1364.,473.9914
1365.,473.9984
1366.,474.0127
1367.,474.0198
1368.,474.0273
1369.,474.0345
1370.,474.0416
1371.,474.0464
1372.,474.0511
1373.,474.0535
1374.,474.0559
1375.,474.0606
1376.,474.0606
1377.,474.0654
1378.,474.0678
1379.,474.0724
1380.,474.082
1381.,474.0968
1382.,474.1133
1383.,474.1328
1384.,474.1585
1385.,474.1828
1386.,474.2188
1387.,474.2568
1388.,474.2976
1389.,474.3434
1390.,474.3932
1391.,474.446
1392.,474.4608
1393.,474.5801
1394.,474.6352
1395.,474.6909
1396.,474.7485
1397.,474.8009
1398.,474.8537
1399.,474.9094
1400.,474.9618
1401.,475.0122
1402.,475.067
1403.,475.1175
1404.,475.1679
1405.,475.2166
1406.,475.2643
1407.,475.3101
1408.,475.3559
1409.,475.3969
1410.,475.4373
1411.,475.4783
1412.,475.5117
1413.,475.548
1414.,475.579
1415.,475.6099
1416.,475.6344
1417.,475.6611
1418.,475.6874
1419.,475.7065
1420.,475.7279
1421.,475.7451
1422.,475.757
1423.,475.7713
1424.,475.7791
1425.,475.791
1426.,475.7951
1427.,475.7981
1428.,475.8029
1429.,475.8005
1430.,475.8005
1431.,475.791
1432.,475.7862
1433.,475.7791
1434.,475.7671
1435.,475.7594
1436.,475.7475
1437.,475.7356
1438.,475.7213
1439.,475.7045
1440.,475.6874
1441.,475.6707
1442.,475.651
1443.,475.6373
1444.,475.6154
1445.,475.5963
1446.,475.5766
1447.,475.5551
1448.,475.5361
1449.,475.5141
1450.,475.4926
1451.,475.4755
1452.,475.454
1453.,475.4326
1454.,475.4135
1455.,475.3945
1456.,475.3773
1457.,475.3582
1458.,475.3362
1459.,475.3171
1460.,475.2982
1461.,475.2857
1462.,475.2691
1463.,475.2548
1464.,475.2357
1465.,475.2214
1466.,475.2114
1467.,475.1971
1468.,475.1876
1469.,475.178
1470.,475.1679
1471.,475.1585
1472.,475.1566
1473.,475.1489
1474.,475.1447
1475.,475.1442
1476.,475.1418
1477.,475.1465
1478.,475.1465
1479.,475.1513
1480.,475.1537
1481.,475.1561
1482.,475.1585
1483.,475.1608
1484.,475.1685
1485.,475.1685
1486.,475.1709
1487.,475.1728
1488.,475.1728
1489.,475.1728
1490.,475.1709
1491.,475.1685
1492.,475.1685
1493.,475.1608
1494.,475.1561
1495.,475.1489
1496.,475.1393
1497.,475.1323
