x0000,y0000
1124.,471.0313
1125.,471.0334
1126.,471.0334
1127.,471.0405
1128.,471.0455
1129.,471.0573
1130.,471.0715
1131.,471.0857
1132.,471.1072
1133.,471.1284
1134.,471.1284
1135.,471.1425
1136.,471.164
1137.,471.1806
1138.,471.1971
1139.,471.2137
1140.,471.2278
1141.,471.2398
1142.,471.2493
1143.,471.2635
1144.,471.2682
1145.,471.2753
1146.,471.2777
1147.,471.2779
1148.,471.2753
1149.,471.2635
1150.,471.2493
1151.,471.2254
1152.,471.1897
1153.,471.1355
1154.,471.2446
1155.,472.3138
1156.,474.2687
1157.,474.9184
1158.,474.9813
1159.,474.8298
1160.,474.6909
1161.,474.367
1162.,473.7237
1163.,473.0523
1164.,472.847
1165.,472.8165
1166.,472.759
1167.,472.8782
1168.,473.0404
1169.,473.5468
1170.,474.166
1171.,474.5948
1172.,474.669
1173.,474.4749
1174.,474.1613
1175.,474.0345
1176.,474.0174
1177.,474.0298
1178.,474.0393
1179.,474.0488
1180.,474.0559
1181.,474.0702
1182.,474.0896
1183.,474.111
1184.,474.1277
1185.,474.147
1186.,474.1613
1187.,474.1756
1188.,474.1822
1189.,474.1921
1190.,474.2497
1191.,474.2759
1192.,474.2545
1193.,474.2069
1194.,474.1684
1195.,474.1371
1196.,474.1057
1197.,474.082
1198.,474.0559
1199.,474.0198
1200.,473.9623
1201.,473.8883
1202.,473.7735
1203.,473.6876
1204.,473.6327
1205.,473.5966
1206.,473.5677
1207.,473.5463
1208.,473.5273
1209.,473.5155
1210.,473.5085
1211.,473.5061
1212.,473.5085
1213.,473.5107
1214.,473.5107
1215.,473.5107
1216.,473.5107
1217.,473.5061
1218.,473.4965
1219.,473.4918
1220.,473.4795
1221.,473.4629
1222.,473.4416
1223.,473.415
1224.,473.389
1225.,473.3625
1226.,473.3341
1227.,473.3009
1228.,473.2645
1229.,473.217
1230.,473.1835
1231.,473.1214
1232.,473.057
1233.,472.9879
1234.,472.9117
1235.,472.8257
1236.,472.7279
1237.,472.6232
1238.,472.5136
1239.,472.4068
1240.,472.3138
1241.,472.2685
1242.,472.2448
1243.,472.2638
1244.,472.2901
1245.,472.2874
1246.,472.2472
1247.,472.1613
1248.,472.04
1249.,471.8881
1250.,471.7288
1251.,471.5388
1252.,471.3346
1253.,471.1401
1254.,470.9648
1255.,470.8179
1256.,470.7113
1257.,470.6451
1258.,470.6001
1259.,470.5385
1260.,470.5005
1261.,470.5053
1262.,470.5717
1263.,470.633
1264.,470.588
1265.,470.5171
1266.,470.5197
1267.,470.5668
1268.,470.6283
1269.,470.6404
1270.,470.6427
1271.,470.664
1272.,470.6877
1273.,470.704
1274.,470.7231
1275.,470.7279
1276.,470.8036
1277.,470.9315
1278.,471.0806
1279.,471.235
1280.,471.3892
1281.,471.5221
1282.,471.643
1283.,471.7454
1284.,471.774
1285.,471.8405
1286.,471.8831
1287.,471.9117
1288.,471.9782
1289.,472.1448
1290.,472.3899
1291.,472.6232
1292.,472.7282
1293.,472.6828
1294.,472.4375
1295.,472.109
1296.,471.8547
1297.,471.7359
1298.,471.6097
1299.,471.5127
1300.,471.4582
1301.,471.4201
1302.,471.4081
1303.,471.4367
1304.,471.4747
1305.,471.5032
1306.,471.5247
1307.,471.5531
1308.,471.5982
1309.,471.6647
1310.,471.7622
1311.,471.8024
1312.,471.8003
1313.,471.7548
1314.,471.6408
1315.,471.5103
1316.,471.3845
1317.,471.2871
1318.,471.2372
1319.,471.2089
1320.,471.1994
1321.,471.2018
1322.,471.2113
1323.,471.2278
1324.,471.2446
1325.,471.2635
1326.,471.28
1327.,471.2917
1328.,471.2942
1329.,471.2944
1330.,471.2921
1331.,471.2898
1332.,471.2847
1333.,471.2823
1334.,471.2753
1335.,471.2658
1336.,471.2587
1337.,471.2517
1338.,471.2443
1339.,471.2372
1340.,471.2304
1341.,471.2186
1342.,471.2089
1343.,471.1947
1344.,471.185
1345.,471.1756
1346.,471.1734
1347.,471.1664
1348.,471.1661
1349.,471.1732
1350.,471.1758
1351.,471.1806
1352.,471.1853
1353.,471.1901
1354.,471.1947
1355.,471.1992
1356.,471.2042
1357.,471.2089
1358.,471.216
1359.,471.216
1360.,471.2207
1361.,471.2234
1362.,471.2254
1363.,471.2302
1364.,471.2328
1365.,471.2352
1366.,471.2422
1367.,471.2446
1368.,471.2469
1369.,471.2493
1370.,471.2517
1371.,471.2493
1372.,471.2493
1373.,471.2466
1374.,471.249
1375.,471.2466
1376.,471.2396
1377.,471.235
1378.,471.235
1379.,471.2328
1380.,471.228
1381.,471.2302
1382.,471.2302
1383.,471.2328
1384.,471.2422
1385.,471.2587
1386.,471.2753
1387.,471.2874
1388.,471.3012
1389.,471.3062
1390.,471.3062
1391.,471.3087
1392.,471.3087
1393.,471.3133
1394.,471.3157
1395.,471.3204
1396.,471.3251
1397.,471.3346
1398.,471.3417
1399.,471.3491
1400.,471.3561
1401.,471.3632
1402.,471.3655
1403.,471.3608
1404.,471.3585
1405.,471.3514
1406.,471.3393
1407.,471.3251
1408.,471.3087
1409.,471.2921
1410.,471.2729
1411.,471.2541
1412.,471.2302
1413.,471.2065
1414.,471.1826
1415.,471.1591
1416.,471.1307
1417.,471.1261
1418.,471.1072
1419.,471.0786
1420.,471.0573
1421.,471.0334
1422.,471.0143
1423.,470.9954
1424.,470.9718
1425.,470.9482
1426.,470.9291
1427.,470.9102
1428.,470.8914
1429.,470.8772
1430.,470.8628
1431.,470.8534
1432.,470.8415
1433.,470.8345
1434.,470.8275
1435.,470.825
1436.,470.825
1437.,470.825
1438.,470.8227
1439.,470.8298
1440.,470.8415
1441.,470.8557
1442.,470.8794
1443.,470.9173
1444.,470.9624
1445.,471.0193
1446.,471.0806
1447.,471.1355
1448.,471.2042
1449.,471.2706
1450.,471.3299
1451.,471.3867
1452.,471.4461
1453.,471.5008
1454.,471.5483
1455.,471.5956
1456.,471.6384
1457.,471.6812
1458.,471.7335
1459.,471.769
1460.,471.7831
1461.,471.8402
1462.,471.8901
1463.,471.9378
1464.,471.9904
1465.,472.0424
1466.,472.1022
1467.,472.1613
1468.,472.2283
1469.,472.2922
1470.,472.3564
1471.,472.4281
1472.,472.4995
1473.,472.5732
1474.,472.6492
1475.,472.7282
1476.,472.8115
1477.,472.8995
1478.,472.9879
1479.,473.076
1480.,473.1692
1481.,473.253
1482.,473.3483
1483.,473.4416
1484.,473.5373
1485.,473.6255
1486.,473.709
1487.,473.7882
1488.,473.8669
1489.,473.9149
1490.,473.9676
1491.,474.0174
1492.,474.0535
1493.,474.082
1494.,474.092
1495.,474.0896
1496.,474.082
1497.,474.0606
1498.,474.0393
1499.,474.0127
1500.,473.9866
1501.,473.9652
1502.,473.9434
1503.,473.9268
1504.,473.9196
1505.,473.9172
1506.,473.9196
1507.,473.9268
1508.,473.9315
1509.,473.9292
1510.,473.924
1511.,473.9121
1512.,473.9126
1513.,473.9126
1514.,473.9077
1515.,473.8765
1516.,473.8427
1517.,473.8067
1518.,473.7735
1519.,473.7379
1520.,473.6972
1521.,473.6544
1522.,473.6133
1523.,473.5682
1524.,473.5273
1525.,473.4823
1526.,473.4416
1527.,473.3984
1528.,473.3507
1529.,473.308
1530.,473.2624
1531.,473.2147
1532.,473.1909
1533.,473.1479
1534.,473.1025
1535.,473.0645
1536.,473.0239
1537.,472.9879
1538.,472.9523
1539.,472.9188
1540.,472.8853
1541.,472.8544
1542.,472.8232
1543.,472.7921
1544.,472.7614
1545.,472.7376
1546.,472.7116
1547.,472.6876
1548.,472.6662
1549.,472.6446
1550.,472.6256
1551.,472.6043
1552.,472.5851
1553.,472.5708
1554.,472.5542
1555.,472.5397
1556.,472.5089
1557.,472.4966
1558.,472.4825
1559.,472.4707
1560.,472.4588
1561.,472.4471
1562.,472.4328
1563.,472.4229
1564.,472.4112
1565.,472.3973
1566.,472.3875
1567.,472.3709
1568.,472.354
1569.,472.3351
1570.,472.3209
1571.,472.2996
1572.,472.2922
1573.,472.2779
1574.,472.2495
1575.,472.2231
1576.,472.1992
1577.,472.1756
1578.,472.1543
1579.,472.1326
1580.,472.1136
1581.,472.0901
1582.,472.0684
1583.,472.0522
1584.,472.0329
1585.,472.0164
1586.,471.9999
1587.,471.9806
1588.,471.9708
1589.,471.9569
1590.,471.9472
1591.,471.9354
1592.,471.9262
1593.,471.9165
1594.,471.9046
1595.,471.8999
1596.,471.8928
1597.,471.8857
1598.,471.8736
1599.,471.8642
1600.,471.8547
1601.,471.8449
1602.,471.833
1603.,471.826
1604.,471.8095
1605.,471.7976
1606.,471.7811
1607.,471.7737
1608.,471.7716
1609.,471.7693
1610.,471.7693
1611.,471.7693
1612.,471.7713
1613.,471.7713
1614.,471.769
1615.,471.769
1616.,471.7693
1617.,471.7693
1618.,471.7716
1619.,471.7693
1620.,471.769
1621.,471.769
1622.,471.7713
1623.,471.7716
1624.,471.7693
1625.,471.7693
1626.,471.7693
1627.,471.7716
1628.,471.7713
1629.,471.769
1630.,471.769
1631.,471.769
1632.,471.7716
1633.,471.7693
1634.,471.7693
1635.,471.7693
1636.,471.7713
1637.,471.769
1638.,471.769
1639.,471.7693
1640.,471.7693
1641.,471.7669
1642.,471.7693
1643.,471.7693
1644.,471.769
1645.,471.7667
1646.,471.769
1647.,471.7693
1648.,471.7693
1649.,471.7693
1650.,471.7693
